"","Center Code","Served OPO Code"
"1","ALCH","ALOB"
"2","ALUA","ALOB"
"3","ALVA","ALOB"
"4","ARBH","AROR"
"5","ARCH","AROR"
"6","ARUA","AROR"
"7","AZCH","AZOB"
"8","AZGS","AZOB"
"9","AZHH","AZOB"
"10","AZMC","AZOB"
"11","AZSJ","AZOB"
"12","AZSM","AZOB"
"13","AZUA","AZOB"
"14","CAAV","CAOP"
"15","CABE","CAOP"
"16","CACH","CASD"
"17","CACL","CAOP"
"18","CACS","CAOP"
"19","CAGH","CASD"
"20","CAHP","CAOP"
"21","CAIM","CAOP"
"22","CALA","CAOP"
"23","CALB","CAOP"
"24","CALL","CAOP"
"25","CAMB","CADN"
"26","CAPC","CADN"
"27","CAPM","CADN"
"28","CARC","CAOP"
"29","CASB","CAOP"
"30","CASD","CASD"
"31","CASF","CADN"
"32","CASG","CAGS"
"33","CASH","CASD"
"34","CASJ","CAOP"
"35","CASM","CAGS"
"36","CASU","CADN"
"37","CASV","CAOP"
"38","CAUC","CAOP"
"39","CAUH","CAOP"
"40","COCH","CORS"
"41","COPM","CORS"
"42","COSL","CORS"
"43","COUC","CORS"
"44","CTHH","MAOB"
"45","CTYN","MAOB"
"46","DCCH","MDPC"
"47","DCGU","MDPC"
"48","DCGW","MDPC"
"49","DCWH","MDPC"
"50","DCWR","MDPC"
"51","DEAI","PADV"
"52","DECC","PADV"
"53","FLAC","FLWC"
"54","FLBC","FLMP"
"55","FLBF","FLFH"
"56","FLCC","FLMP"
"57","FLFH","FLFH"
"58","FLHM","FLFH"
"59","FLJD","FLMP"
"60","FLJM","FLMP"
"61","FLLM","FLWC"
"62","FLMR","FLMP"
"63","FLSH","FLUF"
"64","FLSL","FLUF"
"65","FLTG","FLWC"
"66","FLUF","FLUF"
"67","GAEH","GALL"
"68","GAEM","GALL"
"69","GAMC","GALL"
"70","GAPH","GALL"
"71","HIQM","HIOP"
"72","IAIM","IAOP"
"73","IAIV","IAOP"
"74","IAMH","IAOP"
"75","IAVA","IAOP"
"76","ILCH","ILIP"
"77","ILCM","ILIP"
"78","ILEH","ILIP"
"79","ILLU","ILIP"
"80","ILMM","ILIP"
"81","ILNM","ILIP"
"82","ILPL","ILIP"
"83","ILSF","ILIP"
"84","ILUC","ILIP"
"85","ILUI","ILIP"
"86","ILVA","ILIP"
"87","INIM","INOP"
"88","INLH","INOP"
"89","INSV","INOP"
"90","KSUK","MWOB"
"91","KYJH","KYDA"
"92","KYKC","KYDA"
"93","KYUK","KYDA"
"94","LACH","LAOP"
"95","LAOF","LAOP"
"96","LATU","LAOP"
"97","LAWK","LAOP"
"98","MABI","MAOB"
"99","MABS","MAOB"
"100","MABU","MAOB"
"101","MACH","MAOB"
"102","MALC","MAOB"
"103","MAMG","MAOB"
"104","MANM","MAOB"
"105","MAPB","MAOB"
"106","MAUM","MAOB"
"107","MDJH","MDPC"
"108","MDUM","MDPC"
"109","MEMC","MAOB"
"110","MIBH","MIOP"
"111","MICH","MIOP"
"112","MIDV","MIOP"
"113","MIHF","MIOP"
"114","MIHH","MIOP"
"115","MIHM","MIOP"
"116","MIKZ","MIOP"
"117","MISH","MIOP"
"118","MISJ","MIOP"
"119","MISM","MIOP"
"120","MIUM","MIOP"
"121","MNAN","MNOP"
"122","MNCM","MNOP"
"123","MNHC","MNOP"
"124","MNMC","MNOP"
"125","MNUM","MNOP"
"126","MOBH","MOMA"
"127","MOCG","MOMA"
"128","MOCH","MOMA"
"129","MOCM","MWOB"
"130","MODU","MOMA"
"131","MOJM","MOMA"
"132","MOLH","MWOB"
"133","MORH","MWOB"
"134","MOSL","MOMA"
"135","MOUM","MWOB"
"136","MSUM","MSOP"
"137","NCBG","NCNC"
"138","NCCM","NCCM"
"139","NCDU","NCNC"
"140","NCDU","NCNC"
"141","NCEC","NCNC"
"142","NCMH","NCNC"
"143","NDMC","MNOP"
"144","NDSL","MNOP"
"145","NECH","NEOR"
"146","NEUN","NEOR"
"147","NHDH","MAOB"
"148","NJBI","NJTO"
"149","NJHK","NJTO"
"150","NJLL","NJTO"
"151","NJRW","NJTO"
"152","NJSB","NJTO"
"153","NJUH","NJTO"
"154","NMAQ","NMOP"
"155","NMPH","NMOP"
"156","NVRR","CADN"
"157","NVUM","NVLV"
"158","NYAM","NYAP"
"159","NYCC","NYRT"
"160","NYCP","NYRT"
"161","NYDS","NYRT"
"162","NYEC","NYWN"
"163","NYFL","NYFL"
"164","NYMA","NYRT"
"165","NYMS","NYRT"
"166","NYNS","NYRT"
"167","NYNY","NYRT"
"168","NYSB","NYRT"
"169","NYSL","NYRT"
"170","NYUC","NYRT"
"171","NYUM","NYFL"
"172","NYVA","NYRT"
"173","NYWC","NYRT"
"174","OHAC","OHLB"
"175","OHCC","OHLB"
"176","OHCH","OHLP"
"177","OHCO","OHLC"
"178","OHOU","OHLP"
"179","OHSE","OHLB"
"180","OHUH","OHLB"
"181","OKBC","OKOP"
"182","OKMD","OKOP"
"183","OKMD","OKOP"
"184","OKSA","OKOP"
"185","OKSF","OKOP"
"186","OKSJ","OKOP"
"187","ORGS","ORUO"
"188","ORSV","ORUO"
"189","ORUO","ORUO"
"190","ORVA","ORUO"
"191","PAAE","PADV"
"192","PAAG","PATF"
"193","PACC","PADV"
"194","PACH","PATF"
"195","PACP","PADV"
"196","PAGM","PADV"
"197","PAHE","PADV"
"198","PAHH","PADV"
"199","PAHM","PADV"
"200","PALH","PADV"
"201","PALV","PADV"
"202","PAPH","PATF"
"203","PAPT","PATF"
"204","PARH","PADV"
"205","PASC","PADV"
"206","PATJ","PADV"
"207","PATU","PADV"
"208","PAUP","PADV"
"209","PAVA","PATF"
"210","PRCC","PRLL"
"211","PRSJ","PRLL"
"212","RIRH","MAOB"
"213","SCCH","SCOP"
"214","SCLA","SCOP"
"215","SCMU","SCOP"
"216","SCPG","SCOP"
"217","SCVA","SCOP"
"218","SDMK","MNOP"
"219","SDSV","MNOP"
"220","TNBM","TNMS"
"221","TNEM","TNDS"
"222","TNLB","TNMS"
"223","TNMH","TNMS"
"224","TNPV","TNDS"
